 -21  -21    1    0    0
 -21  -21    1    0    3
 -21  -21    1    0    3
 -21  -20    1    0    3
 -23  -20    4    0    1
 -21  -12    1    0    0
 -21    4    1    0    0
 -21    4    1    0    0
 -21    4    0    0    0
 -21    4    1    0    0
 -21    4    1    0    0
 -21    4    1    0    0
 -21    4    0    0   -1
 -21    1    0    0   -1

   0   -5    1   16    0
   1   -3    2   -6    2
   2   -1    2   -3   12
   1   -2    2   -4   11
   2    0    3    8    9
   3    1    4   -2    3
   5    8    5    3    3
   8   11    8    3    5
   5    9    6    6    4
   8   13    9    9    5
  11   18   13   11    8
  15   24   18   13   10
  21   32   23   19   14
  15   27   19   16   11
